Category,Case number,Crime date and time,Report date,Location,Incident Description,Residential occurrence,Disposition
Burglary,LPD201800050204,03/21/2018 - 2:43am,03/21/2018,422 ROSE LANE - SIGMA NU FRATERNITY,BURGLARY 2ND,Yes,Closed - Lexington Police Report
All Other Offenses,CSA20180427,03/20/2018 - 7:30pm,03/20/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,MENACING,No,Closed - CSA
Harassment,CSA20180425,03/20/2018 - 12:05pm,03/20/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Theft,20180488,03/20/2018 - 1:59pm,03/20/2018,405 ROSE STREET - SINGLETARY CENTER FRONT LOOP,"THEFT BY UNLAWFUL TAKING ALL OTHERS $500 OR MORE BUT U/$10,000",No,Open
Criminal Mischief,20180455,03/19/2018 - 9:52am,03/19/2018,721 SPORTS CENTER DRIVE - PARKING STRUCTURE #7,"CRIMINAL MISCHIEF, 1ST DEGREE",No,Closed
Drug Violations,201806712,03/19/2018 - 7:17pm,03/19/2018,340 HILLTOP AVENUE - JOHNSON HALL,POSSESSION OF MARIJUANA; POSSESSION OF CONTROLLED SUBSTANCES,Yes,Closed
Theft,20180464,03/19/2018 - 8:45pm,03/19/2018,430 COMPLEX DRIVE - JOHNSON CENTER,THEFT BY UNLAWFUL TAKING FROM BUILDING U/$500,No,Closed
Drug Violations,20180462,03/19/2018 - 8:16pm,03/19/2018,329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL,DRUG PARAPHERNALIA-BUY/POSSESS; POSS OF MARIJUANA,Yes,Citation issued
Drug Violations,CSA20180419,03/05/2018 - 7:15pm,03/19/2018,1160 UNIVERSITY DRIVE - UNIVERSITY FLATS,POSSESSION OF MARIJUANA,Yes,Closed - CSA
Harassment,CSA20180420,03/19/2018 - 7:22pm,03/19/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20180421,03/19/2018 - 10:05pm,03/19/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Theft,CSA20180422,03/19/2018 - 2:45pm,03/19/2018,"693 SPORTS CENTER DRIVE - WOODLAND GLEN V, OUTSIDE",THEFT BY UNLAWFUL TAKING,No,Closed - CSA
Theft,20180483,03/13/2018 - 11:08am,03/19/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,THEFT BY UNLAWFUL TAKING SHOPLIFTING U/$500,No,Open
Assault,LPD201800049191,03/19/2018 - 5:40pm,03/19/2018,736 WEST MAIN STREET - SALVATION ARMY,ASSAULT 4TH,No,Closed - Lexington Police Report
All Other Offenses,20180458 A,03/18/2018 - 8:48pm,03/18/2018,SOUTH LIMESTONE STREET NEAR AVENUE OF CHAMPIONS,"RECEIVING STOLEN PROPERTY $10,000 OR MORE",No,Cleared By Arrest
All Other Offenses,20180458 B,03/18/2018 - 8:48pm,03/18/2018,SOUTH LIMESTONE STREET NEAR AVENUE OF CHAMPIONS,"RECEIVING STOLEN PROPERTY $10,000 OR MORE; DISREGARDING TRAFFIC CONT DEV-TRAFFIC LIGHT",No,Cleared By Arrest
DUI,20180452,03/18/2018 - 1:11am,03/18/2018,ROSE STREET/COLUMBIA AVENUE,OPER MTR VEH U/INFLU ALC/DRUGS/ETC..08 (AGG CIRCUM) 1ST OFF; CARELESS DRIVING,No,Cleared By Arrest
Alcohol Intoxication,20180456 A,03/18/2018 - 6:00pm,03/18/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS; CRIMINAL TRESPASSING-3RD DEGREE,No,Cleared By Arrest
Alcohol Intoxication,20180456 B,03/18/2018 - 6:00pm,03/18/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,ALCOHOL INTOX IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,No,Cleared By Arrest
Drug Violations,201806634,03/18/2018 - 10:23pm,03/18/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,DRUG PARAPHERNALIA,No,Closed
Criminal Mischief,CSA20180415,03/18/2018 - 9:30am,03/18/2018,1350 BULL LEA ROAD - EASTER STATE HOSPTIAL,CRIMINAL MISCHIEF,No,Closed - CSA
Sex Offenses,LPD201800048685,03/18/2018 - 9:13am,03/18/2018,1500 COLLEGE WAY - HOPE LODGE,"SEXUAL ABUSE, 1ST",No,Closed - Lexington Police Report
DUI,201806549,03/17/2018 - 10:48pm,03/17/2018,UNIVERSITY DRIVE/ALUMNI DRIVE,OPER MTR VEH U/INFLU ALC/DRUGS/ETC..08,No,Closed - Lexington Police Report
Drug Violations,201806550,03/17/2018 - 10:49pm,03/17/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,POSSESSION OF CONTROLLED SUBSTANCE,No,Closed
Criminal Mischief,20180450,03/17/2018 - 11:07pm,03/17/2018,SIDEWALK AREA NEAR 465 ROSE STREET,CRIMINAL MISCHIEF; WANTON ENDANGERMENT,No,Closed
Drug Violations,20180457,03/17/2018 - 7:43pm,03/17/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,POSSESSION OF SYNTHETIC DRUGS-1ST OFFENSE; PUBLIC INTOXICATION-CONTROL SUBSTANCE EXCLUDES ALCOHOL,No,Citation issued
Criminal Mischief,CSA20180414,03/17/2018 - 7:40pm,03/17/2018,1350 BULL LEA ROAD - EASTER STATE HOSPTIAL,CRIMINAL MISCHIEF,No,Closed - CSA
Assault,CSA20180411,03/17/2018 - 9:03pm,03/17/2018,1350 BULL LEA ROAD - EASTER STATE HOSPTIAL,ASSAULT,No,Closed - CSA
Harassment,CSA20180410,03/17/2018 - 3:48pm,03/17/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPTIAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Assault,CSA20180409,03/17/2018 - 3:26pm,03/17/2018,1350 BULL LEA ROAD - EASTER STATE HOSPTIAL,ASSAULT,No,Closed - CSA
Assault,CSA20180408,03/17/2018 - 12:25am,03/17/2018,1350 BULL LEA ROAD - EASTER STATE HOSPTIAL,ASSAULT,No,Closed - CSA
Liquor Law Violation,CSA20180423,03/19/2018 - 12:07am,03/17/2018,1160 UNIVERSITY DRIVE - UNIVERSITY FLATS,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,No,Closed - CSA
Theft,201800445,03/15/2018 - 7:30am,03/16/2018,800 ROSE STREET - CHANDLER HOSPITAL,"THEFT BY UNLAWFUL TAKING OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",No,Open
Theft,20180446,02/21/2018 - 12:49pm,03/16/2018,105 ROSE STREET - FINE ARTS BUILDING,"THEFT BY DECEPTION-INCLUDE COLD CHECKS U/$10,000",No,Open
Terroristic Threatening,20180447,03/16/2018 - 3:00pm,03/16/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPTIAL,"TERRORISTIC THREATENING, 3RD DEGREE",No,Closed
Assault,CSA20180407,03/16/2018 - 12:45pm,03/16/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPTIAL,ASSAULT,No,Closed - CSA
Assault,CSA20180406,03/16/2018 - 9:29am,03/16/2018,1350 BULL LEA ROAD - EASTER STATE HOSPTIAL,ASSAULT,No,Closed - CSA
Harassment,CSA20180405,03/16/2018 - 8:55am,03/16/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPTIAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Assault,20180445,03/15/2018 - 7:30am,03/16/2018,SOUTH LIMESTONE STREET/WINSLOW,"ASSAULT, 4TH DEGREE NO VISIBLE INJURY",No,Open
Criminal Mischief,20180442,03/15/2018 - 5:45am,03/15/2018,440 HILLTOP AVENUE - THE 90,CRIMINAL MISCHIEF 3RD DEGREE,No,Closed
Terroristic Threatening,20180437,03/14/2018 - 3:30pm,03/15/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPTIAL,"TERRORISTIC THREATENING, 3RD DEGREE",No,Closed
DUI,20180440,03/15/2018 - 2:57am,03/15/2018,SOUTH LIMESTONE STREET PRIOR TO VIRGINIA AVENUE,OPER MTR VEH U/INFLU ALC/DRUGS/ETC..08 AGG CIRCUM 1ST OFF; DISREGARDING TRAFFIC CONT DEV-TRAFFIC LIGHT,No,Cleared By Arrest
Criminal Trespass,20180441,03/15/2018 - 4:10am,03/15/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,CRIMINAL TRESPASSING-3RD DEGREE,No,Cleared By Arrest
Assault,20180444,03/11/2018 - 12:00pm,03/15/2018,1350 BULL LEA ROAD - EASTER STATE HOSPTIAL,"ASSAULT, 4TH DEGREE MINOR INJURY",No,Open
Harassment,CSA20180403,03/15/2018 - 7:15am,03/15/2018,1350 BULL LEA ROAD - EASTER STATE HOSPTIAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Criminal Mischief,CSA20180400,03/15/2018 - 6:15pm,03/15/2018,1350 BULL LEA ROAD - EASTER STATE HOSPTIAL,CRIMINAL MISCHIEF,No,Closed - CSA
Assault,CSA20180399,03/15/2018 - 6:41pm,03/15/2018,1350 BULL LEA ROAD - EASTER STATE HOSPTIAL,ASSAULT,No,Closed - CSA
Harassment,CSA20180398,03/15/2018 - 12:30pm,03/15/2018,1350 BULL LEA ROAD - EASTER STATE HOSPTIAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20180397,03/15/2018 - 4:18pm,03/15/2018,1350 BULL LEA ROAD - EASTER STATE HOSPTIAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20180396,03/15/2018 - 4:41pm,03/15/2018,1350 BULL LEA ROAD - EASTER STATE HOSPTIAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Theft,20180435,03/14/2018 - 4:30am,03/14/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING OR DISP FROM BUILDING U/$500,No,Closed
Assault,LPD2018045710,03/14/2018 - 2:30am,03/14/2018,333 SOUTH LIMESTONE - SIDEWALK AND ROADWAY,"ASSAULT, 1ST DEGREE; ASSAULT, 4TH DEGREE MINOR INJURY",No,Cleared By Arrest
Theft,CSA20180390,03/13/2018 - 8:53pm,03/14/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,THEFT BY UNLAWFUL TAKING,No,Closed - CSA
Harassment,CSA20180391,03/13/2018 - 8:53pm,03/14/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20180389,03/14/2018 - 1:22am,03/14/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Terroristic Threatening,CSA20180386,03/13/2018 - 12:00am,03/14/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,TERRORISTIC THREATENING,No,Closed - CSA
All Other Offenses,CSA20180385,03/14/2018 - 3:07am,03/14/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,MENACING,No,Closed - CSA
Theft,20180436,03/01/2018 - 12:00am,03/14/2018,800 ROSE STREET - CHANDLER HOSPITAL,"THEFT BY UNLAWFUL TAKING FROM BUILDING $500 OR MORE BUT U/$10,000",No,Closed
Drug Violations,201806257,03/14/2018 - 5:05pm,03/14/2018,1350 BULL LEA ROAD - EASTER STATE HOSPTIAL,POSSESSION OF MARIJUANA,No,Closed
Harassment,CSA20180395,03/14/2018 - 8:15pm,03/14/2018,1350 BULL LEA ROAD - EASTER STATE HOSPTIAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
All Other Offenses,CSA20180394,03/14/2018 - 7:05pm,03/14/2018,1350 BULL LEA ROAD - EASTER STATE HOSPTIAL,INDECENT EXPOSURE,No,Closed - CSA
Harassment,CSA20180393,03/14/2018 - 6:30pm,03/14/2018,1350 BULL LEA ROAD - EASTER STATE HOSPTIAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Harassment,CSA20180392,03/14/2018 - 5:25pm,03/14/2018,1350 BULL LEA ROAD - EASTER STATE HOSPTIAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Sex Offenses,CSA20180404,03/14/2018 - 12:00am,03/14/2018,ON CAMPUS - UNSPECIFIED LOCATION,RAPE,No,Closed - CSA
Harassment,CSA20180424,10/01/2017 - 12:00am,03/14/2018,ON CAMPUS - UNSPECIFIED LOCATION,HARASSMENT,No,Closed - CSA
All Other Offenses,20180433,03/13/2018 - 6:15pm,03/13/2018,740 SOUTH LIMESTONE STREET - KENTUCK CLINIC,"INDECENT EXPOSURE, 2ND DEGREE",No,Closed
Assault,20180431,03/13/2018 - 10:03am,03/13/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"ASSAULT, 4TH DEGREE NO VISIBLE INJURY; TERRORISTIC THREATENING, 3RD DEGREE",No,Open
Theft,20180434,03/13/2018 - 2:00am,03/13/2018,800 ROSE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING ALL OTHERS U/$500,No,Closed
Harassment,CSA20180388,03/13/2018 - 7:26pm,03/13/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20180387,03/13/2018 - 6:10pm,03/13/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20180379,03/12/2018 - 5:30pm,03/12/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20180380,03/12/2018 - 4:20pm,03/12/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Assault,CSA20180381,03/12/2018 - 6:06pm,03/12/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20180382,03/12/2018 - 7:30pm,03/12/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20180383,03/12/2018 - 7:55pm,03/12/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Terroristic Threatening,20180427,03/11/2018 - 11:40pm,03/11/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"TERRORISTIC THREATENING, 3RD DEGREE",No,Closed
Harassment,CSA20180378,03/11/2018 - 8:23am,03/11/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20180377,03/11/2018 - 4:48am,03/11/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20180376,03/11/2018 - 3:29am,03/11/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Public Intoxication,LPD2018044139,03/11/2018 - 4:25pm,03/11/2018,SOUTH LIMESTONE STREET/EAST MAXWELL STREET,PUBLIC INTOXICATION-CONTROL SUBSTANCE (EXCLUDES ALCOHOL) X2,No,Closed - Lexington Police Report
DUI,20180423,03/10/2018 - 2:12am,03/10/2018,SOUTH LIMESTONE STREET PRIOR TO ADMINISTRATION DRIVE,OPER MTR VEH U/INFLU ALC/DRUGS/ETC..08 AGG CIRCUM 3RD OFF; FAILURE TO ILLUMINATE HEAD LAMPS,No,Cleared By Arrest
Drug Violations,CSA20180373,03/10/2018 - 1:00pm,03/10/2018,447 PENNSYLVANIA AVENUE - SIGMA CHI,DRUG PARAPHERNALIA X4; PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X4,Yes,Closed - CSA
Liquor Law Violation,CSA20180372,03/10/2018 - 1:00pm,03/10/2018,447 PENNSYLVANIA AVENUE - SIGMA CHI,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X3,Yes,Closed - CSA
Liquor Law Violation,CSA20180402,03/10/2018 - 10:15am,03/10/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",No,Closed - CSA
Liquor Law Violation,CSA20180401,03/10/2018 - 11:00am,03/10/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,No,Closed - CSA
Liquor Law Violation,CSA20180417,03/10/2018 - 10:00am,03/10/2018,329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,Yes,Closed - CSA
Criminal Mischief,CSA20180413,03/09/2018 - 10:00pm,03/10/2018,329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL,CRIMINAL MISCHIEF,No,Closed - CSA
Criminal Mischief,CSA20180412,03/10/2018 - 12:00am,03/10/2018,329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL,CRIMINAL MISCHIEF,Yes,Closed - CSA
Alcohol Intoxication,201805805,03/09/2018 - 1:30am,03/09/2018,AVENUE OF CHAMPIONS - ACROSS FROM STEAK AND SHAKE,ALCOHOL INTOXICATION,No,Closed
Alcohol Intoxication,201805810,03/09/2018 - 2:15am,03/09/2018,412 ROSE STREET - SCHMIDT VOCAL ARTS CENTER,ALCOHOL INTOXICATION,No,Closed
Alcohol Intoxication,201805819,03/09/2018 - 4:45am,03/09/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,ALCOHOL INTOXICATION,Yes,Closed
Assault,CSA20180371,03/09/2018 - 10:45pm,03/09/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20180369,03/09/2018 - 11:09am,03/09/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
Terroristic Threatening,20180420,03/08/2018 - 11:00am,03/09/2018,110 TRANSCRIPT AVENUE - PARKING STRUCTURE #8,"TERRORISTIC THREATENING, 2ND DEGREE",No,Open
Theft,20180419,03/02/2018 - 5:00pm,03/09/2018,1120 UNIVERSITY DRIVE - LEWIS HALL,THEFT BY UNLAWFUL TAKING OR DISP FROM BUILDING U/$500,Yes,Open
Criminal Mischief,CSA20180375,03/09/2018 - 12:45pm,03/09/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF,No,Closed - CSA
Theft,CSA20180374,03/04/2018 - 12:00am,03/09/2018,693 SPORTS CENTER DRIVE - WOODLAND GLEN V,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Sex Offenses,CSA20180384,03/09/2018 - 12:00am,03/09/2018,ON CAMPUS - UNSPECIFIED LOCATION,SEXUAL ABUSE,No,Closed - CSA
Alcohol Intoxication,CSA20180418,03/08/2018 - 10:30am,03/09/2018,329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL,ALCOHOL INTOXICATION,Yes,Closed - CSA
Liquor Law Violation,CSA20180416,03/09/2018 - 8:30pm,03/09/2018,329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,Yes,Closed - CSA
Harassment,201805758,03/08/2018 - 2:29pm,03/08/2018,"300 ALUMNI DRIVE - GREG PAGE APARTMENTS, OUTSIDE",HARASSMENT-NO PHYSICAL CONTACT,No,Closed
Theft,20180414,03/07/2018 - 3:30pm,03/08/2018,800 ROSE STREET - CHANDLER HOSPITAL,"THEFT BY UNLAWFUL TAKING OR DISP FROM BUILDING $10,000 OR MORE BUT U/$1,000,000",No,Closed
Theft,20180412,03/22/2018 - 4:00pm,03/08/2018,110 TRANSCRIPT AVENUE - PARKING STRUCTURE #8,THEFT BY UNLAWFUL TAKING OR DISP ALL OTHERS U/$500,No,Closed - CSA
Theft,20180415,03/08/2018 - 8:00am,03/08/2018,800 ROSE STREET - CHANDLER HOSPITAL,"THEFT BY UNLAWFUL TAKING OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000",No,Closed - CSA
Criminal Trespass,20180411,03/08/2018 - 9:50am,03/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL TRESPASSING - 3RD DEGREE,No,Open
Harassment,CSA20180370,03/08/2018 - 4:55pm,03/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20180368,03/08/2018 - 6:55am,03/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Criminal Mischief,CSA20180367,03/08/2018 - 3:41pm,03/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF,No,Closed - CSA
Terroristic Threatening,LPD2018042262,03/08/2018 - 8:07am,03/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,"TERRORISTIC THREATENING, 3RD DEGREE",No,Open
DUI,20180405,03/07/2018 - 1:56am,03/07/2018,COOPER DRIVE PRIOR TO SOUTH LIMESTONE STREET,"OPER MTR VEH U/INFLU ALC/DRUGS/ETC.08 AGG CIRCUM 1ST OFF; RECEIVING STOLEN PROPERTY $10,000 OR MORE; OPERATING ON SUS OR REV OPER LICENSE; RECKLESS DRIVING; POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED",No,Cleared By Arrest
All Other Offenses,CSA20180364,03/07/2018 - 10:11am,03/07/2018,ON CAMPUS - UNSPECIFIED LOCATION,STALKING,Yes,Closed - CSA
Alcohol Intoxication,CSA20180365,03/06/2018 - 7:00pm,03/07/2018,1120 UNIVERSITY DRIVE - LEWIS HALL,ALCOHOL INTOXICATION,No,Closed - CSA
All Other Offenses,CSA20180366,03/05/2018 - 5:15pm,03/07/2018,ON CAMPUS - UNSPECIFIED LOCATION,STALKING,No,Closed - CSA
Criminal Trespass,201805747,03/07/2018 - 4:45pm,03/07/2018,325 HUGUELET DRIVE - HAGGIN HALL,CRIMINAL TRESPASS,No,Closed
Drug Violations,201805524,03/06/2018 - 5:30am,03/06/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,POSSESSION OF MARIJUANA,No,Closed
Harassment,CSA20180349,03/06/2018 - 11:50pm,03/06/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Drug Violations,20180397,03/06/2018 - 11:08am,03/06/2018,WINSLOW STREET,"POSS OF MARIJUANA; DRUG PARAPHERNALIA-BUY/POSSESS; PRESCRIPTION CONT SUB NOT PROPER CONTAIN 1ST OFF; TRAFF CONT SUB WITHIN 1,000 FEET OF SCHOOL",No,Cleared By Arrest
Sex Offenses,20180404,03/06/2018 - 10:30pm,03/06/2018,SOUTH LIMESTONE JUST PRIOR TO AVENUE OF CHAMPIONS,SEXUAL ABUSE - 3RD DEGREE,No,Closed
Terroristic Threatening,20180399,03/06/2018 - 2:45pm,03/06/2018,800 ROSE STREET - CHANDLER HOSPITAL,TERRORISTIC THREATENING,No,Open
Alcohol Intoxication,20180401,03/06/2018 - 4:53pm,03/06/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS,No,Cleared By Arrest
Theft,2018402,03/06/2018 - 5:00pm,03/06/2018,"740 SOUTH LIMESTONE STREET - KENTUCK CLINIC, STARBUCKS",THEFT BY UNLAWFUL TAKING OR DISP FROM BUILDING U/$500 X2,No,Closed
Theft,20180403,03/06/2018 - 9:00am,03/06/2018,675 ROSE STREET - BIKE RACK,"THEFT BY UNLAWFUL TAKING OR DISP BICYCLES $500 OR MORE BUT U/$10,000",No,Closed
Harassing Communications,CSA20180363,03/05/2018 - 10:30am,03/06/2018,ON CAMPUS - UNSPECIFIED LOCATION,HARASSING COMMUNICATIONS,No,Closed - CSA
Assault,CSA20180362,03/06/2018 - 6:12pm,03/06/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT; TERRORISTIC THREATENING,No,Closed - CSA
Assault,CSA20180361,03/06/2018 - 6:00pm,03/06/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20180360,03/06/2018 - 3:56pm,03/06/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Alcohol Intoxication,CSA20180359,03/06/2018 - 8:00pm,03/06/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ALCOHOL INTOXICATION X2,No,Closed - CSA
Harassment,CSA20180358,03/02/2018 - 12:00am,03/06/2018,120 PATTERSON DRIVE - PATTERSON OFFICE TOWER,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
All Other Offenses,CSA20180357,02/27/2018 - 12:30am,03/06/2018,179 FUNKHOUSER DRIVE - MARTIN LUTHER KING LIBRARY & ON CAMPUS - UNSPECIFIED LOCATIONS,STALKING,No,Closed - CSA
DUI,20180384,03/05/2018 - 1:07am,03/05/2018,HILLTOP AVENUE IN FRONT OF WT YOUNG LIBRARY,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC..08-1ST OFF; FAILURE TO ILLUMINATE HEAD LAMPS,No,Cleared By Arrest
Alcohol Intoxication,20180385,03/05/2018 - 2:55am,03/05/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,ALCOHOL INTOX IN A PUBLIC PLACE 1ST & 2ND OFFENSE,No,Cleared By Arrest
Theft,20180386,03/05/2018 - 3:30am,03/05/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"THEFT BY UNLAWFUL TAKING OR DISP ALL OTHERS U/$500; FLEEING OR EVADING POLICE, 2ND DEGREE ON FOOT; GIVING OFFICER FALSE IDENTIFYING INFORMATION",No,Cleared By Arrest
Assault,CSA20180343,03/05/2018 - 4:00am,03/05/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X3,No,Closed - CSA
Assault,CSA20180342,03/04/2018 - 10:30pm,03/05/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
Harassment,CSA20180333,03/05/2018 - 2:14pm,03/05/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Drug Violations,201805556,03/05/2018 - 9:13pm,03/05/2018,1160 UNIVERSITY DRIVE - UNIVERSITY FLATS,POSSESSION OF MARIJUANA,Yes,Closed
