Category,Case number,Crime date and time,Report date,Location,Incident Description,Residential occurrence,Disposition
Drug Violations,201910110077-01,10/11/2019 - 9:33pm,10/11/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,POSSESSION OF MARIJUANA,No,Closed
Theft,201910110022-01,10/11/2019 - 2:15am,10/11/2019,"411 PENNSYLVANIA COURT - ALPHA CHI OMEGA SORORITY, OUTSIDE",THEFT BY UNLAWFUL TAKING FROM BUILDING UNDER $500,No,Open
Harassment,CSA20191153,10/11/2019 - 1:17pm,10/11/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20191152,10/10/2019 - 11:31am,10/11/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Terroristic Threatening,CSA20191150,10/11/2019 - 12:00am,10/11/2019,720 WOODLAND AVENUE - CHELLGREN HALL,TERRORISTIC THREATENING,Yes,Closed - CSA
Liquor Law Violation,CSA20191149,10/11/2019 - 12:15pm,10/11/2019,340 HILLTOP AVENUE - JOHNSON HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X7,Yes,Closed - CSA
Alcohol Intoxication,CSA20191148,10/11/2019 - 11:00pm,10/11/2019,441 PENSYLVANIA AVENUE - KAPPA SIGMA FRATERNITY,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL,Yes,Closed - CSA
Alcohol Intoxication,CSA20191145,10/11/2019 - 6:15am,10/11/2019,160 AVENUE OF CHAMPIONS - STUDENT CENTER LAWN,ALCOHOL INTOXICATION,No,Closed - CSA
Sex Offenses,CSA20191144,10/11/2019 - 6:00pm,10/11/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,SEXUAL ABUSE,Yes,Closed - CSA
Drug Violations,CSA20191142,10/10/2019 - 10:30pm,10/11/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,POSSESSION MARIJUANA,Yes,Closed - CSA
Liquor Law Violation,CSA20191143,10/10/2019 - 10:30pm,10/11/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X11,Yes,Closed - CSA
Criminal Mischief,201910100047,10/10/2019 - 12:50pm,10/10/2019,AVENUE OF CHAMPIONS - BESIDE JEWELL HALL,CRIMINAL MISCHIEF; DISORDERLY CONDUCT,No,Closed
Alcohol Intoxication,201910100087,10/10/2019 - 11:14pm,10/10/2019,160 AVENUE OF CHAMPIONS - STUDENT CENTER,ALCOHOL INTOXICATION,No,Closed
Theft,201910100033-01,10/10/2019 - 9:00am,10/10/2019,454 COMPLEX DRIVE - BOONE TENNIS CENTER,"THEFT BY UNLAWFUL TAKING AUTO - $500 OR MORE BUT UNDER $10,000",No,Closed
Theft,201910100053-01,10/10/2019 - 9:00am,10/10/2019,3414 IRON WORKS PIKE - SPINDLETOP,THEFT BY UNLAWFUL TAKING UNDER $500,No,Closed
Theft,201910100061-01,10/10/2019 - 6:55am,10/10/2019,"120 PATTERSON DRIVE - PATTERSON OFFICE TOWER, BIKE RACK",THEFT BY UNLAWFUL TAKING BICYCLES UNDER $500,No,Closed
Criminal Mischief,201910100068-01,10/10/2019 - 7:00am,10/10/2019,760 PRESS AVENUE - HEALTHY KENTUCKY RESEARCH BUILDING PARKING LOT,CRIMINAL MISCHIEF 3RD DEGREE,No,Closed
Drug Violations,201910100084-01,10/10/2019 - 10:59pm,10/10/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,DRUG PARAPHERNALIA - BUY/POSSESS; POSSESSION OF MARIJUANA,Yes,Citation issued
Drug Violations,201910100083-01,10/10/2019 - 10:31pm,10/10/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,POSSESSION OF MARIJUANA,Yes,Closed
Assault,CSA20191139,10/10/2019 - 4:19pm,10/10/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20191138,10/10/2019 - 9:35am,10/10/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Alcohol Intoxication,CSA20191137,10/10/2019 - 7:45pm,10/10/2019,111 AVENUE OF CHAMPIONS - HOLMES HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X3,Yes,Closed - CSA
Liquor Law Violation,CSA20191136,10/10/2019 - 10:15pm,10/10/2019,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X5,Yes,Closed - CSA
Drug Violations,201910090011-01,10/09/2019 - 2:28am,10/09/2019,SOUTH LIMESTONE STREET/UNIVERSITY AVENUE,OPERATE MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC..08 - 2ND OFFENSE; CARELESS DRIVING,No,Cleared By Arrest
Harassment,201910090032,10/09/2019 - 9:45am,10/09/2019,680 ROSE STREET - JACOBS SCIENCE BUILDING,HARASSMENT - NO PHYSICAL CONTACT,No,Closed
Drug Violations,201910090077-01,10/09/2019 - 11:17pm,10/09/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,DRUG PARAPHERNALIA - BUY/POSSESS; POSSESSION OF MARIJUANA,Yes,Citation issued
Theft,201910090058-01,10/09/2019 - 1:30pm,10/09/2019,102 AVENUE OF CHAMPIONS - ALUMNI GYM,THEFT OF PROPERTY MISLAID OR DELIVER BY MISTAKE,No,Closed
Theft,201910090038-01,10/07/2019 - 7:00pm,10/09/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,"THEFT BY UNLAWFUL TAKING - AUTO $500 OR MORE BUT UNDER $10,000",No,Open
Assault,CSA20191135,10/09/2019 - 5:08pm,10/09/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20191134,10/09/2019 - 8:57am,10/09/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20191133,10/09/2019 - 2:10pm,10/09/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Criminal Mischief,CSA20191132,10/05/2019 - 8:45pm,10/09/2019,720 WOODLAND AVENUE - CHELLGREN HALL,CRIMINAL MISCHIEF,Yes,Closed - CSA
Alcohol Intoxication,201910070070-01,10/08/2019 - 9:44am,10/08/2019,111 AVENUE OF CHAMPIONS - HOLMES HALL,ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFFENSE IN 12 MONTHS; CRIMINAL TRESPASSING - 3RD DEGREE,Yes,Cleared By Arrest
All Other Offenses,201910080074-01,10/08/2019 - 2:30pm,10/08/2019,700 SPORTS CENTER DRIVE - CLIFF HAGAN STADIUM,UNAUTHORIZED USE OF MOTOR VEHICLE - 1ST OFFENSE,No,Open
Drug Violations,201910080093-02,10/08/2019 - 11:45pm,10/08/2019,WOODLAND AVENUE - STREET,POSSESSION OF MARIJUANA,No,Closed
Theft,201910080056-01,10/07/2019 - 5:30pm,10/08/2019,"685 SPORTS CENTER DRIVE - WOODLAND GLEN III, BIKE RACK",THEFT BY UNLAWFUL TAKING BICYCLES UNDER $500,No,Closed
Harassing Communications,201910080050-01,10/07/2019 - 9:50pm,10/08/2019,800 ROSE STREET - CHANDLER HOSPITAL,HARASSING COMMUNICATIONS,No,Closed
All Other Offenses,201910080060-01,10/07/2019 - 12:00pm,10/08/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,MENACING,No,Closed
Harassment,CSA20191130,10/08/2019 - 1:41pm,10/08/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20191129,10/08/2019 - 10:30am,10/08/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20191128,10/08/2019 - 4:00pm,10/08/2019,720 WOODLAND AVENUE - CHELLGREN HALL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,Yes,Closed - CSA
Theft,CSA20191127,10/08/2019 - 3:30pm,10/08/2019,705 SPORTS CENTER DRIVE - INGLES HALL,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Assault,CSA20191140,10/08/2019 - 7:30pm,10/08/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,ASSAULT (DATING VIOLENCE),Yes,Closed - CSA
Terroristic Threatening,CSA20191141,10/08/2019 - 7:30pm,10/08/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,TERRORISTIC THREATENING,Yes,Closed - CSA
Assault,201910070034,10/07/2019 - 4:45am,10/07/2019,800 ROSE STREET - CHANDLER HOSPITAL,ASSAULT (DATING VIOLENCE),No,Closed
Harassment,201910070064-01,10/07/2019 - 4:25pm,10/07/2019,UNIVERSITY DRIVE/HILLTOP AVENUE,HARASSMENT - NO PHYSICAL CONTACT,No,Unfounded
Arson,201910070053-01,10/07/2019 - 12:15pm,10/07/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,"ARSON, 1ST DEGREE",No,Open
Theft,201910070042-01,10/04/2019 - 5:00pm,10/07/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING FROM BUILDING UNDER $500,No,Closed
Assault,CSA20191126,10/07/2019 - 6:37pm,10/07/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
Harassment,CSA20191125,10/07/2019 - 12:00am,10/07/2019,ON CAMPUS - UNSPECIFIED LOCATION.,HARASSMENT-NO PHYSICAL CONTACT (STALKING),No,Closed - CSA
Theft,CSA20191124,10/06/2019 - 8:30pm,10/07/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,THEFT BY UNLAWFUL TAKING,No,Closed - CSA
Theft,CSA20191123,10/06/2019 - 9:30pm,10/07/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Harassment,CSA20191122,10/07/2019 - 5:17pm,10/07/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Criminal Mischief,CSA20191121,10/04/2019 - 12:00am,10/07/2019,1160 UNIVERSITY DRIVE - UNIVERSITY FLATS,CRIMINAL MISCHIEF; HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
Terroristic Threatening,CSA20191120,10/07/2019 - 9:33am,10/07/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,TERRORISTIC THREATENING,No,Closed - CSA
Assault,CSA20191119,10/07/2019 - 11:55am,10/07/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,CRIMINAL MISCHIEF; ASSAULT,No,Closed - CSA
Theft,201910080079-01,10/07/2019 - 10:00pm,10/07/2019,401 HILLTOP AVENUE - WT YOUNG LIBRARY,"THEFT BY UNLAWFUL TAKING FROM BUILDING $500 OR MORE BUT UNDER $10,000",No,Open
DUI,201910060016-01,10/06/2019 - 2:51am,10/06/2019,819 SOUTH LIMESTONE,OPERATE MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC..08 2ND OFFENSE; OPERATING ON SUSPENDED OR REVOKED OPERATOR'S LICENSE; CARELESS DRIVING; FAILURE TO PRODUCE INSURANCE CARD,No,Cleared By Arrest
Theft,201910060051-01,10/06/2019 - 6:10pm,10/06/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING UNDER $500,No,Open
Assault,201910060002-01,10/06/2019 - 12:05am,10/06/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,"ASSAULT, 4TH DEGREE MINOR INJURY; ASSAULT, 4TH DEGREE NO VISIBLE INJURY X3",No,Citation issued
Harassment,CSA20191114,10/06/2019 - 5:56pm,10/06/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Disorderly Conduct,LPD201800000N781743,10/05/2018 - 9:54pm,10/05/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,DISORDERLY CONDUCT 2ND DEGREE; MENACING,No,Closed - Lexington Police Report
Theft,20191050058-01,10/05/2019 - 10:20pm,10/05/2019,"111 AVENUE OF CHAMPIONS - HOLMES HALL, BIKE RACK",THEFT BY UNLAWFUL TAKING BICYCLES UNDER $500,No,Open
Terroristic Threatening,201910050049-01,10/05/2019 - 7:20pm,10/05/2019,SOUTH LIMESTONE STREET/EAST MAXWELL STREET,"TERRORISTIC THREATENING, 3RD DEGREE",No,Closed
Drug Violations,201910050015-01,10/05/2019 - 12:36am,10/05/2019,"329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL, OUTSIDE",POSSESSION OF MARIJUANA,No,Closed
Alcohol Intoxication,201910050003-01,10/05/2019 - 12:41am,10/05/2019,SOUTH MARTIN LUTHER KING BOULEVARD/AVENUE OF CHAMPIONS,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,No,Cleared By Arrest
Harassment,CSA20191118,10/05/2019 - 1:45pm,10/05/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Harassment,CSA20191117,10/05/2019 - 2:50pm,10/05/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Harassment,CSA20191113,10/05/2019 - 1:03pm,10/05/2019,340 HILLTOP AVENUE - JOHNSON HALL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,Yes,Closed - CSA
Harassment,CSA20191112,10/05/2019 - 12:00am,10/05/2019,329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
All Other Offenses,CSA20191110,10/05/2019 - 10:15am,10/05/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,MENACING,No,Closed - CSA
Alcohol Intoxication,201910040010,10/04/2019 - 1:08am,10/04/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,ALCOHOL INTOXICATION,Yes,Closed
Drug Violations,201910040007-01,10/04/2019 - 12:41am,10/04/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,DRUG PARAPHERNALIA-BUY/POSSESS; POSSESSION OF MARIJUANA,Yes,Closed - CSA
DUI,201910040018-01,10/04/2019 - 2:17am,10/04/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,OPERATE MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC..08 - 1ST OFFENSE; OPERATING ON SUSPENDED OR REVOKED OPERATOR'S LICENSE; FAILURE TO ILLUMINATE HEAD LAMPS,No,Cleared By Arrest
Criminal Mischief,191005002701,10/04/2019 - 5:00pm,10/04/2019,201 AVENUE OF CHAMPIONS - COLLEGE VIEW PARKING LOT,CRIMINAL MISCHIEF 3RD DEGREE,No,Open
Theft,201910040080-01,10/04/2019 - 2:00pm,10/04/2019,"236 BOLIVAR STREET - ARTS AND VISUAL STUDIES BUILDING, BIKE RACK",THEFT BY UNLAWFUL TAKING BICYCLES UNDER $500,No,Closed
Drug Violations,201910040081-01,10/04/2019 - 10:26pm,10/04/2019,325 HUGUELET DRIVE - HAGGIN HALL,POSSESSION OF MARIJUANA,Yes,Citation issued
Criminal Mischief,201910040052-01,10/04/2019 - 10:00am,10/04/2019,201 AVENUE OF CHAMPIONS - MEMORIAL COLISEUM,CRIMINAL MISCHIEF 2ND DEGREE,No,Open
Theft,201910040077-01,10/04/2019 - 7:46pm,10/04/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"THEFT BY UNLAWFUL TAKING SHOPLIFTING $500 OR MORE BUT UNDER $10,000",No,Citation issued
Assault,CSA20191116,10/04/2019 - 2:03pm,10/04/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20191115,10/04/2019 - 11:50am,10/04/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
Theft,CSA20191111,10/03/2019 - 10:36pm,10/04/2019,111 AVENUE OF CHAMPIONS - HOLMES HALL,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Liquor Law Violation,CSA20191109,10/04/2019 - 2:30am,10/04/2019,720 WOODLAND AVENUE - CHELLGREN HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X2,Yes,Closed - CSA
Drug Violations,201910030007-01,10/03/2019 - 1:42am,10/03/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,POSSESSION OF MARIJUANA,No,Closed
All Other Offenses,201910030003-01,10/02/2019 - 11:00am,10/03/2019,720 WOODLAND AVENUE - CHELLGREN HALL,MENACING (DATING VIOLENCE),Yes,Closed - CSA
Harassing Communications,201910030039,10/03/2019 - 11:17am,10/03/2019,ON CAMPUS - UNSPECIFIED LOCATION.,HARASSING COMMUNICATIONS,No,Closed
All Other Offenses,201910030041-01,10/03/2019 - 11:00am,10/03/2019,ON CAMPUS - UNSPECIFIED LOCATION.,VIOLATION OF A KENTUCKY EMERGENCY PROTECTION ORDER/DOMESTIC VIOLENCE ORDER,No,Unfounded
Drug Violations,201910030057-01,10/03/2019 - 4:45pm,10/03/2019,329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL,DRUG PARAPHERNALIA - BUY/POSSESS; POSSESSION OF MARIJUANA,Yes,Citation issued
All Other Offenses,201910030035-01,10/02/2019 - 9:51am,10/03/2019,NORTH FARMS - ENTRANCE OFF BULL LEA ROAD,CRIMINAL LITTERING,No,Closed
Theft,201910030032-01,10/01/2019 - 5:00pm,10/03/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,THEFT BY UNLAWFUL TAKING FROM BUILDING UNDER $500,No,Closed
Theft,201910030051-01,10/02/2019 - 5:00pm,10/03/2019,"325 COOPER DRIVE- GARRUGUS BUILDING, BIKE RACK",THEFT BY UNLAWFUL TAKING BICYCLES UNDER $500,No,Closed
Liquor Law Violation,CSA20191108,10/03/2019 - 10:00pm,10/03/2019,325 HUGUELET DRIVE - HAGGIN HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X4,Yes,Closed - CSA
Liquor Law Violation,CSA20191107,10/03/2019 - 10:00pm,10/03/2019,111 AVENUE OF CHAMPIONS - HOLMES HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X5,Yes,Closed - CSA
Liquor Law Violation,CSA20191106,10/03/2019 - 10:30pm,10/03/2019,111 AVENUE OF CHAMPIONS - HOLMES HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X4,Yes,Closed - CSA
Theft,CSA20191105,09/26/2019 - 2:15pm,10/03/2019,"740 WOODLAND AVENUE - SMITH HALL, BIKE RACK ON KIRWAN BUILDING SIDE",THEFT BY UNLAWFUL TAKING,No,Closed - CSA
Theft,201910040045-01,10/03/2019 - 12:00pm,10/03/2019,329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT,Yes,Open
Alcohol Intoxication,201910020101-01,10/02/2019 - 11:49pm,10/02/2019,SOUTH LIMESTONE STREET/ADMINISTRATION DRIVE,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST & 2ND OFFENSE),No,Cleared By Arrest
Theft,201910020059-01,10/02/2019 - 2:08pm,10/02/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING SHOPLIFTING UNDER $500,No,Open
Theft,201910020078-01,10/02/2019 - 4:59pm,10/02/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,THEFT BY UNLAWFUL TAKING UNDER $500,No,Open
Theft,201910020032-01,09/03/2019 - 12:02pm,10/02/2019,"750 ROSE STREET - MARKEY CANCER CENTER, PARKING LOT",THEFT OF PROPERTY MISLAID OR DELIVER BY MISTAKE,No,Open
Theft,201910020049-01,09/15/2019 - 8:00am,10/02/2019,"344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL, BIKE RACK LEXINGTON AVENUE SIDE","THEFT BY UNLAWFUL TAKING BICYCLES $500 OR MORE BUT UNDER $10,000",No,Closed
Theft,201910020042-01,10/01/2019 - 8:02am,10/02/2019,"720 WOODLAND AVENUE - CHELLGREN HALL, BIKE RACK","THEFT BY UNLAWFUL TAKING BICYCLES $500 OR MORE BUT UNDER $10,000",No,Open
Harassment,CSA20191103,10/02/2019 - 9:59am,10/02/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20191104,10/02/2019 - 6:24pm,10/02/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
All Other Offenses,201910010056,10/01/2019 - 1:17pm,10/01/2019,410 ADMINISTRATION DRIVE - MAIN BUILDING,VIOLATION OF KENTUCKY EMERGENCY PROTECTIVE ORDER/DOMESTIC VIOLENCE ORDER,No,Closed
All Other Offenses,201910010053-02,10/01/2019 - 12:00pm,10/01/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,UNLAWFUL IMPRISONMENT - 2ND DEGREE,No,Open
Death Investigation,201910010081-01,10/01/2019 - 1:00am,10/01/2019,ON CAMPUS - RESIDENCE HALL,DEATH INVESTIGATION,Yes,Open
Harassment,CSA20191102,10/01/2019 - 7:25pm,10/01/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20191101,10/01/2019 - 1:32am,10/01/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20191100,10/01/2019 - 12:53pm,10/01/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
All Other Offenses,CSA20191099,10/01/2019 - 10:30am,10/01/2019,111 WASHINGTON AVENUE - RESEARCH FACILITY #1,STALKING,No,Closed - CSA
Harassment,CSA20191098,09/30/2019 - 12:00am,10/01/2019,NORTHERN KENTUCKY UNIVERSITY - UK MEDICAL CAMPUS,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Theft,LPD201900185607,10/01/2019 - 4:30pm,10/01/2019,115 WALLER AVENUE - WALLER HEALTH CARE ANNEX 1,"THEFT BY UNLAWFUL TAKING OVER $500 BUT UNDER $10,000",No,Closed - Lexington Police Report
Alcohol Intoxication,CSA20191093,09/21/2019 - 5:22pm,09/30/2019,1160 UNIVERSITY DRIVE - UNIVERSITY FLATS,ALCOHOL INTOXICATION,Yes,Closed - CSA
Drug Violations,201909300103-01,09/30/2019 - 6:53pm,09/30/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,POSSESSION CONTROLLED SUBSTANCE 3RD DEGREE - DRUG UNSPECIFIED,No,Citation issued
Assault,CSA20191097,09/30/2019 - 7:57pm,09/30/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20191219,09/30/2019 - 12:00am,09/30/2019,ON CAMPUS - UNSPECIFIED LOCATION.,HARASSMENT - NO PHYSICAL CONTACT,No,Closed - CSA
Sex Offenses,201909290027-01,09/29/2019 - 12:00am,09/29/2019,ON CAMPUS - RESIDENCE HALL,"RAPE, 1ST DEGREE; SODOMY, 1ST DEGREE; STRANGULATION 1ST DEGREE",Yes,Open
DUI,201909290025-01,09/29/2019 - 3:35am,09/29/2019,AVENUE OF CHAMPIONS/LEXINGTON AVENUE,OPERATE MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC..08 - 1ST OFFENSE; FAILURE TO ILLUMINATE HEAD LAMPS; DISREGARDING TRAFFIC CONTROL DEVICE - TRAFFIC LIGHT; FAILURE TO OR IMPROPER SIGNAL; CARELESS DRIVING; LICENSE TO BE IN POSSESSION,No,Cleared By Arrest
Assault,CSA20191092,09/29/2019 - 5:34pm,09/29/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
Harassment,CSA20191091,09/29/2019 - 8:19am,09/29/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Assault,CSA20191090,09/28/2019 - 11:47pm,09/29/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Terroristic Threatening,CSA20191081,09/29/2019 - 11:08am,09/29/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,TERRORISTIC THREATENING,No,Closed - CSA
Alcohol Intoxication,201909280002,09/28/2019 - 12:10am,09/28/2019,361 HUGUELET DRIVE - DONOVAN HALL,ALCOHOL INTOXICATION,Yes,Closed
Drug Violations,201909280070,09/28/2019 - 11:00pm,09/28/2019,109 WALLER AVENUE - UNIVERSITY INN,POSSESSION OF MARIJUANA,Yes,Closed
Drug Violations,201909280028-01,09/28/2019 - 3:41am,09/28/2019,SOUTH MARTIN LUTHER KIND BOULEVARD,DRUG PARAPHERNALIA - BUY/POSSESS; POSSESSION OF MARIJUANA,No,Citation issued
Liquor Law Violation,CSA20191082,09/28/2019 - 8:15pm,09/28/2019,361 HUGUELET DRIVE - DONOVAN HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X3,Yes,Closed - CSA
Terroristic Threatening,CSA20191078,09/27/2019 - 3:45am,09/27/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,TERRORISTIC THREATENING,No,Closed - CSA
Terroristic Threatening,201909280010,09/27/2019 - 9:00pm,09/27/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,TERRORISTIC THREATENING 3RD DEGREE,No,Closed
Criminal Mischief,201909270077-01,09/27/2019 - 9:00pm,09/27/2019,160 AVENUE OF CHAMPIONS - STUDENT CENTER,CRIMINAL MISCHIEF 3RD DEGREE,No,Closed
